order,id,age,sex,ethnicity.simplified,Country.of.birth,Country.of.residence,Nationality,Language,condition,round,age_cat,X,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11,item12,item13,item14,item15,item16,item17,item18,item19,item20,item21,item22,item23,item24,item25,item26,item27,item28,item29,item30,itemred,item31,item32,item33,item34,item35,item36,item37,item38,item39,item40,item41,item42,item43,item44,item45,item46,item47,item48,item49,item50
11,56906694a3b94e000c6cd179,60,Female,white,uk,uk,uk,English,within,1,older,,france,toyota,rainy,hitler,cadbury milk,thailand,labour,gin,2000,bee,london,swimming,yoga,hello!,01-Jan,netflix,guardian,5,everest,fortnight,tesco,jill the lioness,tshirt,nigeria,taylor swift,tower of london,cheeseplant,sand,daisy,engine,na,english literature,birthday,"last christmas, wham",drinking_party,car racing,street dance,gap,sarah,thames,vacuuming,"the beach, alex garland",westminster abbey,emancipation,american dollar,basin,teacher,grass,burger,cockapoo,drinking_out
12,56906694a3b94e000c6cd179,60,Female,white,uk,uk,uk,English,between,2,older,,belgium,ford,rainy,churchill,cadbury milk,spain,conservative,gin,1999,bee,london,sight seeing,jogging,radio times,13-Dec,channel 4,daily mail,6,kilimanjaro,sims,sainsbury's,lester piggott,jeans,nigeria,oasis,tower bridge,cactus,pebble,daffodils ,bonnet,na,art,anniversary,"brown sugar, the stones",drinking_party,football,tango,ben sherman,julia,thames,dusting,treasure island,westminster abbey,the long good friday,yen,bath,banker,plants,crisps,labrador,have fun
13,579e5da516020100010416b8,60,Male,White,uk,uk,uk,English,within,1,older,,uk,ford,snowy,henry viii,cadbury milk,greece,conservative,beer,1985,fly,london,sight seeing,jogging,hello!,01-Jan,netflix,telegraph,60,everest,tomb raider,tesco,ben stokes,jeans,ethiopia,queen,stonehenge,ivy,shell,sunflower,engine,na,history,christmas,yellow submarine,eating,football,jive,burberry,clare,thames,vacuuming,1984,buckingham palace,its a wonderful life,american dollar,bath,waiter,grass,sandwich,jack russell,drinking_out
14,579e5da516020100010416b8,60,Male,White,uk,uk,uk,English,between,2,older,,france,tesla,sunny,churchill,cadbury milk,france,liberal democrats,gin,2030,ant,paris,sight seeing,running,hello!,01-Jan,netflix,the sun,25,everest,sims,tesco,mo farrah,leggings,sudan,katy perry,stonehenge,orchid,shell,sunflower,engine,na,history,birthday,do they know its christmas,dancing,football,jive,burberry,louise,thames,vacuuming,1984,buckingham palace,fast & furious,american dollar,shower,consultant,grass,sandwich,labrador,drinking_out
15,57a78015454e5400015f57ec,56,Male,White,Ireland,uk,uk,English,within,1,older,,france,ford,rainy,churchill,cadbury milk,spain,conservative,beer,2019,bee,london,swimming,running,tv times,11-Nov,bbc,guardian,8,alps,fifa,sainsbury's,alex ferguson,tshirt,nigeria,u2,house of parliament,rose,sand,rose,engine,na,math,birthday,white christmas,dancing,football,waltz,boss,mary,thames,washing up,bible,shard,sound of music,euro,basin,teacher,barbecue,chips,labrador,drinking_out
16,57a78015454e5400015f57ec,56,Male,White,Ireland,uk,uk,English,between,2,older,,france,audi,sunny,mandela,cadbury milk,usa,green,vodka,2019,bee,london,clubbing,workout at the gym,men's health,11-Nov,netflix,daily mirror,2,alps,call of duty,lidl,harry kane,jeans,nigeria,d.rascal,big ben,lily,sand,rose,engine,na,computor science,birthday,dance wiv me,dancing,football,hip-hop,boss,ann,thames,ironing,bible,shard,avatar,euro,shower,banker,barbecue,sandwich,labrador,dinning_out
17,57deea8589fea700017296dc,62,Male,White,uk,uk,uk,English,within,1,older,,france,ford,rainy,jesus,mars,spain,conservative,beer,2000,ant,london,sunbathing,walking,hello!,01-Apr,bbc one,daily mail,8,everest,pac-man,tesco,usain bolt,jeans,nigeria,u2,pyramids,yucca,sand,rose,engine,na,english,birthday,careless whisper,drinking_party,football,waltz,levi's,karen,thames,washing up,harry potter,house of parliament,titanic,american dollar,toothbrush,doctor,plants,sandwich,labrador,dancing_out
18,57deea8589fea700017296dc,62,Male,White,uk,uk,uk,English,between,2,older,,france,tesla,sunny,hitler,hershey,thailand,labour,cocktail,2000,bee,london,clubbing,workout at the gym,vogue,25-Dec,netflix,daily mail,7,everest,gta,tesco,kobe bryant,jeans,nigeria,lizzo,statue of liberty,orchid,sand,rose,wheel,na,math,birthday,angels,dancing,football,salsa,gucci,olivia,amazon,making bed,harry potter,shard,harry potter,france,toothbrush,doctor,plants,burger,bulldog,dancing_out
19,589f4cdd890ea500014c4d85,62,Female,White,uk,uk,uk,English,between,1,older,,france,ford,rainy,mandela,cadbury milk,spain,labour,beer,2020,fly,london,sunbathing,workout at the gym,hello!,25-Dec,netflix,guardian,2,everest,super mario,tesco,gary lineker,top,morocco,elton john,trafalgar square,spider plant,sand,rose,engine,na,math,christmas,national anthem,dancing,football,twist,levi's,jessica,thames,cleaning,bible,buckingham palace,love actually,euro,toilet,teacher,grass,burger,labrador,drinking_out
20,589f4cdd890ea500014c4d85,62,Female,White,uk,uk,uk,English,within,2,older,,spain,honda,sunny,margaret thatcher,nestles,spain,labour,beer,2020,fly,london,sunbathing,running,hello!,25-Dec,bbc,guardian,2,everest,super mario,tesco,gary lineker,jeans,morocco,elton john,trafalgar square,spider plant,sand,rose,engine,na,math,birthday,national anthem,dancing,football,jive,levi's,jessica,thames,cleaning,bible,buckingham palace,love actually,euro,toilet,teacher,grass,chips,labrador,drinking_out
21,59532996d5822e000125a73b,35,Female,White,uk,uk,uk,English,within,1,younger,,spain,audi,sunny,einstein,cadbury milk,spain,labour,wine,2022,fly,london,sunbathing,running,ok!,13-Dec,bbc,daily mail,10,everest,fifa,asda,harry kane,trousers,zimbabwe,sam fender,stonehenge,orchid,sand,rose,engine,na,english,birthday,anti-hero,dancing,football,macarena,nike,sophia,thames,vacuuming,catcher in the rye,house of parliament,top gun,euro,toothbrush,police officer,grass,chips,chihuahua,dancing_out
22,59532996d5822e000125a73b,35,Female,White,uk,uk,uk,English,between,2,younger,,spain,vauxhall,sunny,einstein,cadbury milk,spain,conservative,beer,2022,fly,london,sight seeing,workout at the gym,hello!,13-Dec,bbc,times,10,everest,fifa,sainsbury's,harry kane,tshirt,zimbabwe,ed sheeran,stonehenge,lily,pebble,rose,engine,na,math,birthday,happy birthday,dancing,football,macarena,nike,olivia,thames,vacuuming,catcher in the rye,house of parliament,top gun,euro,toothbrush,police officer,flowers,ice cream,terrier,dancing_out
23,598971de71fb500001aaa40c,31,Male,White,uk,uk,uk,English,between,1,younger,,france,bmw,sunny,churchill,cadbury milk,spain,conservative,beer,2022,bee,london,sight seeing,jogging,good housekeeping,25-Dec,bbc,the sun,10,fuji,super mario,tesco,usain bolt,trousers,kenya,cliff richard,eiffel tower,rubber plant,sand,rose,engine,na,math,birthday,happy birthday,dancing,football,waltz,m&s,amy,thames,ironing,bible,house of parliament,james bond,euro,mirror,lawyer,grass,sandwich,boxer,dinning_out
24,598971de71fb500001aaa40c,31,Male,White,uk,uk,uk,English,within,2,younger,,spain,bmw,sunny,the queen,cadbury milk,greece,labour,beer,2022,ant,new york,sunbathing,workout at the gym,men's health,25-Dec,netflix,daily mirror,1,snowdonia,minecraft,tesco,harry kane,jeans,kenya,ed sheeran,the shard,fern,sun bed,rose,exhaust,na,english,birthday,shivers,drinking_party,football,tango,levi's,lily,thames,washing up,50 shades of grey,empire state,home alone,euro,toilet,accountant,flowers,pizza,french bulldog,cinema
25,59b6fc6662b30d0001b7a8bb,30,Male,White,Italy,uk,uk,English,within,1,younger,,france,ford,sunny,napoleon,cadbury milk,spain,labour,beer,2022,mosquito,london,swimming,workout at the gym,economist,01-Jan,bbc,guardian,1,everest,tomb raider,tesco,harry kane,top,south africa,red hot chili peppers,stonehenge,cactus,sand,sunflower,wheel,na,math,christmas,hello,drinking_party,football,salsa,burberry,sarah,thames,cleaning,the da vinci code,big ben,julie and julia,euro,toilet,lawyer,flowers,sandwich,golden retriever,dancing_out
26,59b6fc6662b30d0001b7a8bb,30,Male,White,Italy,uk,uk,English,between,2,younger,,france,volvo,cloudy,einstein,cadbury milk,spain,conservative,wine,2022,bee,paris,sight seeing,running,economist,01-Jan,bbc,times,1,everest,pokemon,tesco,harry kane,hat,morocco,beatles,stonehenge,cactus,sand,rose,radio,na,math,christmas,hey jude,dancing,football,salsa,burberry,julie,thames,cleaning,becoming,downing street,james bond,american dollar,bath,accountant,flowers,crisps,yorkshire terrier,drinking_out
27,59cca4561805010001498011,58,Male,White,uk,uk,uk,English,between,1,younger,,france,ford,snowy,churchill,cadbury milk,spain,conservative,beer,2000,bee,london,sunbathing,workout at the gym,hello!,01-Jan,netflix,the sun,1,everest,fifa,tesco,harry kane,trousers,south africa,oasis,big ben,fern,sand,daffodils ,door,na,english,christmas,hey jude,drinking_party,football,disco,levi's,jane,thames,cleaning,bible,buckingham palace,star wars,euro,bath,dentist,plants,hotdog,german shepherd,drinking_out
28,59cca4561805010001498011,58,Male,White,uk,uk,uk,English,within,2,younger,,germany,ford,snowy,churchill,cadbury milk,france,labour,beer,1945,bee,london,sunbathing,running,nme,25-Dec,itv,the sun,1,everest,manic minor,tesco,beckham,tshirt,egypt,beatles,buckingham palace,fern,sand,daffodils ,steering wheel,na,math,new year,hey jude,drinking_party,football,waltz,levi's,elizabeth,thames,dusting,bible,wembley,star wars,euro,soap,postman,grass,hotdog,german shepherd,drinking_out
29,59d4fb316cc82800013e32d3,64,Male,White,uk,uk,uk,English,within,2,older,,germany,nissan,sunny,churchill,cadbury milk,spain,conservative,beer,2022,bee,paris,sunbathing,walking,top gear,25-Dec,bbc one,daily mail,20,snowdonia,super mario,tesco,harry kane,tshirt,egypt,rolling stones,big ben,sunflower,seaweed,rose,wheel,na,math,birthday,white christmas,eating,football,tango,m&s,alice,thames,vacuuming,harry potter,house of parliament,alien,euro,shower gel,teacher,grass,sandwich,labrador,drinking_out
30,59d4fb316cc82800013e32d3,64,Male,White,uk,uk,uk,English,between,1,older,,france,ford,rainy,churchill,cadbury milk,spain,conservative,beer,2022,bee,london,sunbathing,running,the times,25-Dec,netflix,guardian,10,ben nevis,sims,tesco,harry kane,tshirt,morocco,ed sheeran,tower bridge,sunflower,seaweed,rose,wheel,na,english,birthday,white christmas,eating,football,tango,next,rose,thames,vacuuming,harry potter,house of parliament,alien,euro,shower gel,teacher,grass,sandwich,cockapoo,drinking_out
31,59e9e46a1c947e00012b2621,59,Female,White,uk,uk,uk,English,between,1,older,,france,mini,rainy,henry viii,cadbury milk,spain,labour,vodka,2019,spider,new york,spain,running,bella,12-Dec,netflix,the sun,10,ben nevis,call of duty,aldi,marcus rashford,jacket,zimbabwe,west life,angel of the north,poinsettia,sand,pansy,mini,na,english,christmas,its christmas time,dancing,tennis,zumba,nike,ann,trent,vacuuming,harry potter,empire state,die hard,euro,bed,postman,grass,chips,poodle,drinking_out
32,59e9e46a1c947e00012b2621,59,Female,White,uk,uk,uk,English,within,2,older,,france,mini,rainy,henry viii,cadbury milk,france,labour,beer,2019,bee,london,sunbathing,walking,bella,25-Dec,netflix,the sun,10,snowdonia,call of duty,tesco,john mcenroe,gloves,zimbabwe,take that,angel of the north,spider plant,pebble,rose,mini,na,math,birthday,do they no its christmas,dancing,rugby,waltz,nike,sarah,thames,ironing,jungle book,twin towers,die hard,euro,shower,firefighter,grass,chips,poodle,drinking_out
33,5a81a9fb0f1bce00012201ef,65,Female,White,uk,uk,uk,English,between,1,older,,france,ford,windy,hitler,cadbury milk,usa,conservative,gin,2000,bee,london,sight seeing,running,cosmopolitan,25-Dec,netflix,guardian,10,everest,fifa,aldi,harry kane,jeans,egypt,san ryder,angel of the north,cyclamen,plastic,rose,engine,na,english,christmas,yellow,games,football,twist,next,ella,severn,vacuuming,hamnet,empire state,the holiday,euro,towel,teacher,grass,ice cream,collie,dinning_out
34,5a81a9fb0f1bce00012201ef,65,Female,White,uk,uk,uk,English,within,2,older,,france,ford,sunny,churchill,cadbury milk,france,labour,beer,1999,bee,london,sleeping,walking,homes and gardens,25-Dec,bbc,times,8,mountain,computer_game,supermarket,player,clothing,africa,music_artist,landmark,houseplant,beach,flower,car_part,na,math,christmas,white christmas,dancing,football,twist,wrangler,susan,thames,dusting,jane eyre,house of parliament,love story,euro,towel,doctor,shrubs,ice cream,german shepherd,watch a film
35,5a81acbdeea3d300016e4920,57,Female,White,uk,uk,uk,English,within,1,older,,france,honda,snowy,churchill,cadbury milk,spain,conservative,coke,2000,spider,london,sunbathing,jogging,hello!,25-Dec,bbc one,daily mail,10,everest,scrabble,tesco,roger federer,top,botswana,spice girls,lands end,cheeseplant,shell,rose,engine,na,math,birthday,over the rainbow,dancing,football,tango,m&s,jane,thames,dusting,bible,buckingham palace,paddington,american dollar,toothbrush,nursing,shed,hotdog,labrador,drinking_out
36,5a81acbdeea3d300016e4920,57,Female,White,uk,uk,uk,English,between,2,older,,france,volskwagen,rainy,the queen,cadbury milk,spain,labour,martini,2022,spider,london,sunbathing,workout at the gym,hello!,13-Dec,bbc,daily mail,10,everest,minecraft,tesco,ronaldo,tshirt,morocco,beatles,big ben,cheeseplant,shell,rose,bonnet,na,math,christmas,im dreaming of a white christmas,drinking_party,football,tango,asos,mary,thames,washing up,bible,taj mahal,the godfather,euro,toothbrush,police officer,flowers,hotdog,german shepherd,watch a film
37,5a870482f49c9a0001f3941b,34,Male,White,uk,uk,uk,English,between,1,younger,,germany,mini,rainy,hitler,cadbury milk,italy,conservative,beer,1966,ant,london,sleeping,workout at the gym,gardeners' world,25-Dec,bbc one,daily mail,60,everest,space invaders,tesco,beckham,shoes,nigeria,beatles,big ben,yucca,sand,rose,engine,na,math,christmas,highway to hell,drinking_party,football,ballroom,nike,lara,thames,vacuuming,great expectations,shard,die hard,american dollar,bath,doctor,grass,hotdog,german shepherd,drinking_out
38,5a870482f49c9a0001f3941b,34,Male,White,uk,uk,uk,English,within,2,younger,,spain,kia,sunny,hitler,cadbury milk,italy,labour,beer,1999,ant,london,sleeping,workout at the gym,empire,25-Dec,netflix,the sun,20,everest,call of duty,sainsbury's,beckham,tshirt,south africa,ed sheeran,big ben,yucca,sand,sunflower,engine,na,english,birthday,shape of you,drinking_party,football,gangnam style,nike,lara,thames,cleaning,harry potter,shard,die hard,american dollar,bath,doctor,grass,hotdog,bulldog,sex
39,5a91cb166219a30001d2e6ef,30,Male,White,uk,uk,uk,English,within,1,younger,,france,ford,sunny,einstein,mars,spain,labour,beer,2012,bee,london,sleeping,training,heat,25-Dec,netflix,guardian,7,everest,fortnite,tesco,neymar,jeans,nigeria,taylor swift,eiffel tower,succulent,sand,rose,engine,na,math,birthday,love story,drinking_party,football,tango,nike,willow,mississippi,washing up,bible,shard,minions,france,soap,accountant,grass,hotdog,dalmatian,drinking_out
40,5a91cb166219a30001d2e6ef,30,Male,White,uk,uk,uk,English,within,1,younger,,france,ford,sunny,einstein,cadbury milk,usa,conservative,beer,1992,flea,london,sunbathing,walking,heat,25-Dec,bbc,daily mail,7,everest,pong,marks & spencer,roger federer,top,ghana,beatles,eiffel tower,rubber plant,shell,rose,engine,na,math,birthday,hey jude,dancing,football,tango,puma,susan,thames,cleaning,bible,house of parliament,shawshank redemption,france,soap,accountant,snail,hotdog,dalmatian,dancing_out
41,5aa308f0b5e2110001c71eb5,28,Female,Mixed,uk,uk,uk,English,within,1,younger,,france,mercedes,snowy,queen victoria,cadbury milk,greece,labour,vodka,2022,spider,paris,swimming,workout at the gym,the times,17-Jul,channel 4,guardian,50,everest,fortnight,tesco,wayne rooney,tshirt,nigeria,michael jackson,big ben,money plant,pebble,rose,engine,na,math,christmas,jingle bells,drinking_party,football,tango,next,clare,thames,washing up,harry potter,shard,titanic,euro,soap,doctor,flowers,sandwich,labrador,dinning_out
42,5aa308f0b5e2110001c71eb5,28,Female,Mixed,uk,uk,uk,English,between,2,younger,,france,mercedes,snowy,queen victoria,cadbury milk,spain,labour,whiskey,2022,spider,barcelona,swimming,workout at the gym,vogue,17-Jul,netflix,guardian,50,everest,fortnight,tesco,wayne rooney,hat,nigeria,celine dion,big ben,money plant,pebble,rose,engine,na,art,christmas,jingle bells,drinking_party,football,waltz,next,clare,thames,washing up,harry potter,big ben,titanic,euro,soap,doctor,flowers,sandwich,labrador,drinking_out
43,5b101257d282ff00015bdadb,55,Female,White,uk,uk,uk,English,within,1,older,,uk,ford,snowy,churchill,cadbury milk,spain,labour,wine,2022,spider,london,sunbathing,workout at the gym,hello!,01-Jan,bbc,times,1,everest,sonic,asda,harry kane,trousers,kenya,sam smith,big ben,spider plant,sand,rose,engine,na,math,christmas,white christmas,dancing,football,tango,topshop,amy,thames,cleaning,oliver twist,buckingham palace,up,euro,bath,doctor,grass,hotdog,labrador,dancing_out
44,5b101257d282ff00015bdadb,55,Female,White,uk,uk,uk,English,between,2,older,,uk,audi,rainy,the queen,mars,spain,labour,beer,2022,spider,london,sunbathing,workout at the gym,vogue,01-Jan,netflix,times,1,everest,call of duty,asda,harry kane,coat,kenya,taylor swift,big ben,spider plant,sand,rose,engine,na,math,birthday,shooting star,dancing,football,tango,river island,alice,thames,washing up,lord of the flies,big ben,titanic,euro,shower,doctor,grass,burger,bulldog,dancing_out
45,5b61dc6656c05f00018c7968,60,Male,White,uk,uk,uk,English,within,1,older,,france,ford,rainy,churchill,mars,spain,conservative,beer,2022,spider,london,eating,walking,radio times,25-Dec,bbc one,daily mail,7,everest,call of duty,tesco,harry kane,top,south africa,beatles,big ben,orchid,towel,rose,engine,na,english,christmas,national anthem,drinking_party,football,waltz,fat face,elizabeth,thames,vacuuming,bible,house of parliament,jaws,american dollar,toilet,doctor,grass,sandwich,labrador,drinking_out
46,5b61dc6656c05f00018c7968,60,Male,White,uk,uk,uk,English,between,2,older,,spain,ford,rainy,trump,mars,spain,labour,beer,2022,wasp,london,drink_holiday,jogging,vogue,25-Dec,netflix,daily mail,7,everest,call of duty,tesco,harry kane,top,morocco,elvis,london eye,cactus,towel,rose,engine,na,english,christmas,wish you a merry christmas,drinking_party,football,twerking,fat face,elizabeth,thames,washing up,bible,house of parliament,star wars,american dollar,toilet,consultant,grass,sandwich,cockapoo,drinking_out
47,5b76febccee87f0001f989ac,28,Female,White,uk,uk,uk,English,between,1,younger,,spain,ford,sunny,anne frank,cadbury milk,spain,labour,wine,2020,ant,london,sunbathing,running,heat,25-Dec,bbc,the sun,10,everest,tetris,asda,beckham,top,kenya,wham!,eiffel tower,cactus,sand,rose,engine,na,math,christmas,sweet caroline,dancing,football,waltz,levi's,lily,thames,vacuuming,harry potter,empire state,star wars,euro,basin,police officer,flowers,hotdog,labrador,drinking_out
48,5b76febccee87f0001f989ac,28,Female,White,uk,uk,uk,English,within,2,younger,,greece,mini,sunny,hitler,galaxy,spain,labour,beer,2020,bee,london,swimming,running,chat,25-Dec,netflix,daily mail,10,everest,minecraft,tesco,ronaldo,top,kenya,ed sheeran,eiffel tower,cactus,sand,rose,engine,na,science,christmas,bad habits,dancing,football,ballroom,levi's,emily,thames,vacuuming,harry potter,shard,saw,euro,bath,police officer,plants,hotdog,cockapoo,dancing_out
49,5b7bf6c98c721a00015d1feb,62,Male,White,uk,uk,uk,English,within,1,older,,uk,ford,rainy,churchill,cadbury milk,spain,labour,beer,2000,bee,london,swimming,jogging,reader's digest,25-Dec,bbc one,daily mail,7,everest,pac-man,tesco,harry kane,socks,nigeria,queen,stonehenge,bamboo,sand,rose,wheel,na,math,birthday,happy birthday,drinking_party,football,tap,levi's,emma,thames,washing up,bible,shard,star wars,euro,bath,nurse,grass,hotdog,labrador,drinking_out
50,5b7bf6c98c721a00015d1feb,62,Male,White,uk,uk,uk,English,between,2,older,,france,honda,rainy,the queen,cadbury milk,spain,labour,rum,2000,bee,london,sunbathing,jogging,gq,25-Dec,netflix,the sun,20,everest,halo,tesco,harry kane,tshirt,morocco,queen,trafalgar square,bamboo,sand,rose,wheel,na,math,birthday,happy birthday,drinking_party,football,ballroom,nike,emma,thames,making bed,bible,shard,avatar,france,bath,nurse,chairs,hotdog,labrador,drinking_out
51,5bba872c26ada60001e395e3,25,Male,White,uk,uk,uk,English,between,1,younger,,france,ford,rainy,churchill,cadbury milk,turkey,labour,vodka,1966,ant,london,sunbathing,running,time,08-Sep,bbc one,telegraph,9,everest,minecraft,sainsbury's,ronaldo,jeans,kenya,queen,stonehenge,lily,sand,rose,engine,na,history,christmas,we are the champions,drinking_party,football,waltz,ralph lauren,olivia,thames,washing up,1984,shard,django unchained,euro,soap,teacher,grass,kebab,french bulldog,dancing_out
52,5bba872c26ada60001e395e3,25,Male,White,uk,uk,uk,English,within,2,younger,,france,seat,sunny,churchill,galaxy,spain,labour,martini,1997,ant,london,snorkeling,workout at the gym,vogue,08-Sep,netflix,guardian,4,everest,call of duty,aldi,messi,top,south africa,swedish house mafia,big ben,lily,sand,sunflower,engine,na,english,birthday,killer queen,drinking_party,football,orange justice,adidas,charlotte,thames,washing up,1984,whitehall,avatar,euro,toilet,lawyer,grass,kebab,pug,drinking_out
53,5bbf31958d691100016f17ec,32,Female,White,uk,uk,uk,English,within,1,younger,,france,ford,rainy,martin luther king,cadbury milk,spain,labour,gin,2001,fly,new york,swimming,running,vogue,25-Dec,netflix,the sun,20,everest,call of duty,tesco,beckham,hat,south africa,ed sheeran,eiffel tower,succulent,shell,rose,engine,na,math,birthday,happy birthday,dancing,football,tap,nike,amy,thames,ironing,harry potter,empire state,titanic,euro,toothbrush,doctor,flowers,candy floss,dalmatian,dancing_out
54,5bbf31958d691100016f17ec,32,Female,White,uk,uk,uk,English,between,2,younger,,france,bmw,rainy,henry viii,cadbury milk,spain,labour,wine,1982,fly,paris,sunbathing,walking,vogue,25-Dec,bbc one,daily mail,20,everest,super mario,tesco,beckham,top,south africa,beatles,eiffel tower,cactus,shell,rose,engine,na,math,birthday,happy birthday,dancing,football,tango,m&s,sarah,thames,ironing,pride and prejudice,empire state,titanic,euro,toothbrush,doctor,flowers,hotdog,cocker spaniel,drinking_out
